Manufacturer,Model,Vendor Analyte Name,Vendor Specimen Description,Vendor Result Description,LOINC Code,LOINC long Name,Vendor Analyte Code,Vendor Comment,Vendor Reference ID,Equipment UID,Equipment UID Type,Component,Property,Time,System,Scale,Method,Publication Version ID
1drop Inc.,1copy COVID-19 qPCR Multi Kit*,SARS-CoV-2 Result Interpretation,"anterior nasal swabs (697989009^Anterior nares swab^SCT)
mid-turbinate nasal swabs(871810001^Mid-turbinate nasal swab^SCT)
nasopharyngeal swabs (258500001^Nasopharyngeal swab^SCT)
oropharyngeal swabs (258529004^Throat swab^SCT)
nasopharyngeal wash (258467004^Nasopharyngeal washings^SCT)
nasopharyngeal aspirate (258411007^Nasopharyngeal aspirate^SCT)
nasal aspirate (429931000124105^Nasal aspirate specimen^SCT)","Positive (260373001^Detected^SCT)
Presumptive positive (720735008^Presumptive positive^SCT)
Negative (260415000^Not detected^SCT)
Invalid (455371000124106^Invalid result^SCT or 125154007^Specimen unsatisfactory for evaluation^SCT)",94500-6,SARS coronavirus 2 RNA [Presence] in Respiratory specimen by NAA with probe detection,,,,,,SARS coronavirus 2 RNA,PrThr,Pt,Respiratory,Ord,Probe.amp.tar,20200519
1drop,1copy COVID-19 qPCR Multi Kit*,SARS-CoV-2 Result Interpretation,"anterior nasal swabs (697989009^Anterior nares swab^SCT)
mid-turbinate nasal swabs(871810001^Mid-turbinate nasal swab^SCT)
nasopharyngeal swabs (258500001^Nasopharyngeal swab^SCT)
oropharyngeal swabs (258529004^Throat swab^SCT)
nasopharyngeal wash (258467004^Nasopharyngeal washings^SCT)
nasopharyngeal aspirate (258411007^Nasopharyngeal aspirate^SCT)
nasal aspirate (429931000124105^Nasal aspirate specimen^SCT)","Positive (260373001^Detected^SCT)
Presumptive positive (720735008^Presumptive positive^SCT)
Negative (260415000^Not detected^SCT)
Invalid (455371000124106^Invalid result^SCT or 125154007^Specimen unsatisfactory for evaluation^SCT)",94500-6,SARS coronavirus 2 RNA [Presence] in Respiratory specimen by NAA with probe detection,,,,,,SARS coronavirus 2 RNA,PrThr,Pt,Respiratory,Ord,Probe.amp.tar,20200519
3B Blackbio Biotech India,TRUPCR SARS-CoV-2 Kit*,SARS-CoV-2 Result Interpretation,"nasopharyngeal swabs (258500001^Nasopharyngeal swab^SCT)
oropharyngeal swabs (258529004^Throat swab^SCT)
anterior nasal swabs (697989009^Anterior nares swab^SCT)
mid-turbinate nasal swabs (871810001^Mid-turbinate nasal swab^SCT)
nasopharyngeal aspirate/wash (258411007^Nasopharyngeal aspirate^SCT)
nasal aspirates (429931000124105^Nasal aspirate specimen^SCT)
bronchoalveolar lavage (BAL) specimens (258607008^Bronchoalveolar lavage fluid sample^SCT)","SARS-CoV-2 Positive (260373001^Detected^SCT)
SARS-CoV-2 Presumptive Positive (720735008^Presumptive positive^SCT)
SARS-CoV-2 Negative (260415000^Not detected^SCT)
Invalid (455371000124106^Invalid result^SCT or 125154007^Specimen unsatisfactory for evaluation^SCT)",94500-6,SARS-CoV-2 (COVID19) RNA [Presence] in Respiratory specimen by NAA with probe detection,,,,,,SARS coronavirus 2 RNA,PrThr,Pt,Respiratory,Ord,Probe.amp.tar,20200623
3B Blackbio Biotech,TRUPCR SARS-CoV-2 Kit*,SARS-CoV-2 Result Interpretation,"nasopharyngeal swabs (258500001^Nasopharyngeal swab^SCT)
oropharyngeal swabs (258529004^Throat swab^SCT)
anterior nasal swabs (697989009^Anterior nares swab^SCT)
mid-turbinate nasal swabs (871810001^Mid-turbinate nasal swab^SCT)
nasopharyngeal aspirate/wash (258411007^Nasopharyngeal aspirate^SCT)
nasal aspirates (429931000124105^Nasal aspirate specimen^SCT)
bronchoalveolar lavage (BAL) specimens (258607008^Bronchoalveolar lavage fluid sample^SCT)","SARS-CoV-2 Positive (260373001^Detected^SCT)
SARS-CoV-2 Presumptive Positive (720735008^Presumptive positive^SCT)
SARS-CoV-2 Negative (260415000^Not detected^SCT)
Invalid (455371000124106^Invalid result^SCT or 125154007^Specimen unsatisfactory for evaluation^SCT)",94500-6,SARS-CoV-2 (COVID19) RNA [Presence] in Respiratory specimen by NAA with probe detection,,,,,,SARS coronavirus 2 RNA,PrThr,Pt,Respiratory,Ord,Probe.amp.tar,20200623
Abbott,Architect i1000SR,CoV-2 IgG,"Serum (119364003^Serum specimen^SCT)
Plasma (119361006^Plasma specimen^SCT)","Positive (10828004^Positive^SCT)
Negative (260385009^Negative^SCT)",94563-4,SARS coronavirus 2 IgG Ab [Presence] in Serum or Plasma by Immunoassay,385,,6R86,,,SARS coronavirus 2 Ab.IgG,PrThr,Pt,Ser/Plas,Ord,IA,20200617
Abbott,Architect i2000SR,CoV-2 IgG,"Serum (119364003^Serum specimen^SCT)
Plasma (119361006^Plasma specimen^SCT)","Positive (10828004^Positive^SCT)
Negative (260385009^Negative^SCT)",94563-4,SARS coronavirus 2 IgG Ab [Presence] in Serum or Plasma by Immunoassay,385,,6R86,,,SARS coronavirus 2 Ab.IgG,PrThr,Pt,Ser/Plas,Ord,IA,20200617
Abbott,ID NOW,COVID-19,"nasal swab (445297001^Swab of internal nose^SCT)
nasopharyngeal swab (258500001^Nasopharyngeal swab^SCT)
throat swabs (258529004^Throat swab^SCT)
Nasal and throat swab combination (433801000124107^Nasopharyngeal and oropharyngeal swab^SCT)","Positive (260373001^Detected^SCT)
Negative (260415000^Not detected^SCT)
Invalid (455371000124106^Invalid result^SCT)",94534-5,SARS coronavirus 2 RdRp gene [Presence] in Respiratory specimen by NAA with probe detection,COVID-19,,,,,SARS coronavirus 2 RdRp gene,PrThr,Pt,Respiratory,Ord,Probe.amp.tar,20200428
Abbott,m2000 RealTime System,SARS-CoV-2,"nasopharyngeal (NP) swabs (258500001^Nasopharyngeal swab^SCT) 
oropharyngeal (OP) swabs (258529004^Throat swab^SCT)","Positive (260373001^Detected^SCT)
Negative (260415000^Not detected^SCT)",94500-6,SARS coronavirus 2 RNA [Presence] in Respiratory specimen by NAA with probe detection,SARS-CoV-2,,9N77,,,SARS coronavirus 2 RNA,PrThr,Pt,Respiratory,Ord,Probe.amp.tar,20200519
Abbott,Alinity i,CoV-2 IgG,"Serum (119364003^Serum specimen^SCT)
Plasma (119361006^Plasma specimen^SCT)","Positive (10828004^Positive^SCT)
Negative (260385009^Negative^SCT)",94563-4,SARS coronavirus 2 IgG Ab [Presence] in Serum or Plasma by Immunoassay,162,,6R90,,,SARS coronavirus 2 Ab.IgG,PrThr,Pt,Ser/Plas,Ord,IA,20200617
Abbott,Alinity m,SARSCoV2,"nasal swab (445297001^Swab of internal nose^SCT)
nasopharyngeal swab (258500001^Nasopharyngeal swab^SCT)
throat swabs (258529004^Throat swab^SCT)
bronchoalveolar lavage (258607008^Bronchoalveolar lavage fluid sample^SCT)","Positive (260373001^Detected^SCT)
Negative (260415000^Not detected^SCT)",94500-6,SARS coronavirus 2 RNA [Presence] in Respiratory specimen by NAA with probe detection,3019,,9N78,,,SARS coronavirus 2 RNA,PrThr,Pt,Respiratory,Ord,Probe.amp.tar,20200519
