CDM_SOURCE,CDM_TBL,CDM_TBL_COLUMN_NAME,SRC_CODE,SRC_CD_DESCRIPTION,TARGET_CONCEPT_ID,TARGET_CONCEPT_NAME,TARGET_DOMAIN_ID,TARGET_VOCABULARY_ID,TARGET_CONCEPT_CLASS_ID,TARGET_STANDARD_CONCEPT,TARGET_CONCEPT_CODE
PCORnet,PRESCRIBING,RX_DOSE_ORDERED_UNIT,%{RBCs},percent of red blood cells,0,Gap,-,-,-,-,-
PCORnet,PRESCRIBING,RX_DOSE_ORDERED_UNIT,%{reactive},percent reactive,0,Gap,-,-,-,-,-
PCORnet,PRESCRIBING,RX_DOSE_ORDERED_UNIT,%{recovery},percent recovery,0,Gap,-,-,-,-,-
PCORnet,PRESCRIBING,RX_DOSE_ORDERED_UNIT,%{reference},percent reference,0,Gap,-,-,-,-,-
PCORnet,PRESCRIBING,RX_DOSE_ORDERED_UNIT,%{relative},relative percent,0,Gap,-,-,-,-,-
PCORnet,PRESCRIBING,RX_DOSE_ORDERED_UNIT,%{residual},percent residual,0,Gap,-,-,-,-,-
PCORnet,PRESCRIBING,RX_DOSE_ORDERED_UNIT,%{saturation},percent saturation,8728,(unit) percent saturation (concept_id = 8728),Unit,UCUM,Unit,S,%{sat}
PCORnet,PRESCRIBING,RX_DOSE_ORDERED_UNIT,%{total},percent total,8632,(unit) percent total (concept_id = 8632),Unit,UCUM,Unit,S,%{tot}
PCORnet,PRESCRIBING,RX_DOSE_ORDERED_UNIT,%{uptake},percent uptake,8649,(unit) percent uptake (concept_id = 8649),Unit,UCUM,Unit,S,%{uptake}
PCORnet,PRESCRIBING,RX_DOSE_ORDERED_UNIT,%{viable},percent viable,0,Gap,-,-,-,-,-
PCORnet,PRESCRIBING,RX_DOSE_ORDERED_UNIT,%{vol},percent by volume,9234,(unit) volume percent (concept_id = 9234),Unit,UCUM,Unit,S,%{vol}
PCORnet,PRESCRIBING,RX_DOSE_ORDERED_UNIT,%{WBCs},percent of white blood cells,9229,(unit) percent of white blood cells (concept_id = 9229),Unit,UCUM,Unit,S,%{of'WBC}
PCORnet,PRESCRIBING,RX_DOSE_ORDERED_UNIT,/(12.h),per twelve hour,0,Gap,-,-,-,-,-
PCORnet,PRESCRIBING,RX_DOSE_ORDERED_UNIT,/10*10,per 10 billion,9238,(unit) per ten billion (concept_id = 9238),Unit,UCUM,Unit,S,/10*10
PCORnet,PRESCRIBING,RX_DOSE_ORDERED_UNIT,/10*12,per trillion,9239,(unit) per trillion (concept_id = 9239),Unit,UCUM,Unit,S,/10*12
PCORnet,PRESCRIBING,RX_DOSE_ORDERED_UNIT,/10*12{RBCs},per trillion red blood cells,9240,(unit) per trillion red blood cells (concept_id = 9240),Unit,UCUM,Unit,S,/10*12.{RBC}
PCORnet,PRESCRIBING,RX_DOSE_ORDERED_UNIT,/10*3,per thousand,8566,(unit) thousand (concept_id = 8566),Unit,UCUM,Unit,S,10*3
PCORnet,PRESCRIBING,RX_DOSE_ORDERED_UNIT,/10*3{RBCs},per thousand red blood cells,44777576,(unit) thousand red blood cells (concept_id = 44777576),Unit,UCUM,Unit,S,10*3(rbc)
PCORnet,PRESCRIBING,RX_DOSE_ORDERED_UNIT,/10*4{RBCs},per 10 thousand red blood cells,44777576,(unit) thousand red blood cells (concept_id = 44777576),Unit,UCUM,Unit,S,10*3(rbc)
PCORnet,PRESCRIBING,RX_DOSE_ORDERED_UNIT,/10*6,per million,9241,(unit) per million (concept_id = 9241),Unit,UCUM,Unit,S,/10*6
PCORnet,PRESCRIBING,RX_DOSE_ORDERED_UNIT,/10*9,per billion,9242,(unit) per billion (concept_id = 9242),Unit,UCUM,Unit,S,/10*9
PCORnet,PRESCRIBING,RX_DOSE_ORDERED_UNIT,/100,per 100,9243,(unit) per hundred (concept_id = 9243),Unit,UCUM,Unit,S,/100
PCORnet,PRESCRIBING,RX_DOSE_ORDERED_UNIT,/100{cells},per 100 cells,8783,(unit) unit per 10 cells (concept_id = 8783),Unit,UCUM,Unit,S,[U]/10.{cells}
PCORnet,PRESCRIBING,RX_DOSE_ORDERED_UNIT,/100{neutrophils},per 100 neutrophils,0,Gap,-,-,-,-,-
PCORnet,PRESCRIBING,RX_DOSE_ORDERED_UNIT,/100{spermatozoa},per 100 spermatozoa,9244,(unit) per 100 spermatozoa (concept_id = 9244),Unit,UCUM,Unit,S,/100.{sperm}
PCORnet,PRESCRIBING,RX_DOSE_ORDERED_UNIT,/100{WBCs},per 100 white blood cells,9032,(unit) per 100 white blood cells (concept_id = 9032),Unit,UCUM,Unit,S,/100.{WBC}
PCORnet,PRESCRIBING,RX_DOSE_ORDERED_UNIT,/[arb'U],per arbitrary unit,9235,(unit) per arbitrary unit (concept_id = 9235),Unit,UCUM,Unit,S,/[arb'U]
PCORnet,PRESCRIBING,RX_DOSE_ORDERED_UNIT,/[HPF],per high power field,8786,(unit) per high power field (concept_id = 8786),Unit,UCUM,Unit,S,/[HPF]
PCORnet,PRESCRIBING,RX_DOSE_ORDERED_UNIT,/[IU],per international unit,8718,(unit) international unit (concept_id = 8718),Unit,UCUM,Unit,S,[iU]
PCORnet,PRESCRIBING,RX_DOSE_ORDERED_UNIT,/[IU]/mL,per international unit per milliliter,8985,(unit) international unit per milliliter (concept_id = 8985),Unit,UCUM,Unit,S,[iU]/mL
PCORnet,PRESCRIBING,RX_DOSE_ORDERED_UNIT,/[LPF],per low power field,8765,(unit) per low powered field (concept_id = 8765),Unit,UCUM,Unit,S,/[LPF]
PCORnet,PRESCRIBING,RX_DOSE_ORDERED_UNIT,/a,per year,44777560,(unit) per year (concept_id = 44777560),Unit,UCUM,Unit,S,/y
PCORnet,PRESCRIBING,RX_DOSE_ORDERED_UNIT,/cm[H2O],per centimeter of water,9547,(unit) meter of water column (concept_id = 9547),Unit,UCUM,Unit,S,m[H2O]
PCORnet,PRESCRIBING,RX_DOSE_ORDERED_UNIT,/d,per day,0,Gap,-,-,-,-,-
PCORnet,PRESCRIBING,RX_DOSE_ORDERED_UNIT,/dL,per deciliter,9245,(unit) per deciliter (concept_id = 9245),Unit,UCUM,Unit,S,/dL
PCORnet,PRESCRIBING,RX_DOSE_ORDERED_UNIT,/g,per gram,9246,(unit) per gram (concept_id = 9246),Unit,UCUM,Unit,S,/g
PCORnet,PRESCRIBING,RX_DOSE_ORDERED_UNIT,/g{creat},per gram of creatinine,9247,(unit) per gram of creatinine (concept_id = 9247),Unit,UCUM,Unit,S,/g{creat}
PCORnet,PRESCRIBING,RX_DOSE_ORDERED_UNIT,/g{Hb},per gram of hemoglobin,9248,(unit) per gram of hemoglobin (concept_id = 9248),Unit,UCUM,Unit,S,/g{HBG}
PCORnet,PRESCRIBING,RX_DOSE_ORDERED_UNIT,/g{tot_nit},per gram of total nitrogen,9249,(unit) per gram of total nitrogen (concept_id = 9249),Unit,UCUM,Unit,S,/g{tot'nit}
PCORnet,PRESCRIBING,RX_DOSE_ORDERED_UNIT,/g{tot_prot},per gram of total protein,9250,(unit) per gram of total protein (concept_id = 9250),Unit,UCUM,Unit,S,/g{tot'prot}
PCORnet,PRESCRIBING,RX_DOSE_ORDERED_UNIT,/g{wet_tis},per gram of wet tissue,9251,(unit) per gram of wet tissue (concept_id = 9251),Unit,UCUM,Unit,S,/g{wet'tis}
PCORnet,PRESCRIBING,RX_DOSE_ORDERED_UNIT,/h,per hour,44777557,(unit) per hour (concept_id = 44777557),Unit,UCUM,Unit,S,/h
PCORnet,PRESCRIBING,RX_DOSE_ORDERED_UNIT,/kg,per kilogram,9252,(unit) per kilogram (concept_id = 9252),Unit,UCUM,Unit,S,/kg
PCORnet,PRESCRIBING,RX_DOSE_ORDERED_UNIT,/kg{body_wt},per kilogram of body weight,9253,(unit) per kilogram body weight (concept_id = 9253),Unit,UCUM,Unit,S,/kg{body'wt}
PCORnet,PRESCRIBING,RX_DOSE_ORDERED_UNIT,/L,per liter,9254,(unit) per liter (concept_id = 9254),Unit,UCUM,Unit,S,/L
PCORnet,PRESCRIBING,RX_DOSE_ORDERED_UNIT,/m2,per square meter,9255,(unit) per square meter (concept_id = 9255),Unit,UCUM,Unit,S,/m2
PCORnet,PRESCRIBING,RX_DOSE_ORDERED_UNIT,/m3,per cubic meter,44777558,(unit) per cubic meter (concept_id = 44777558),Unit,UCUM,Unit,S,/m3
PCORnet,PRESCRIBING,RX_DOSE_ORDERED_UNIT,/mg,per milligram,9256,(unit) per milligram (concept_id = 9256),Unit,UCUM,Unit,S,/mg
PCORnet,PRESCRIBING,RX_DOSE_ORDERED_UNIT,/min,per minute,8541,(unit) per minute (concept_id = 8541),Unit,UCUM,Unit,S,/min
PCORnet,PRESCRIBING,RX_DOSE_ORDERED_UNIT,/mL,per milliliter,9257,(unit) per milliliter (concept_id = 9257),Unit,UCUM,Unit,S,/mL
PCORnet,PRESCRIBING,RX_DOSE_ORDERED_UNIT,/mm,per millimeter,8588,(unit) millimeter (concept_id = 8588),Unit,UCUM,Unit,S,mm
PCORnet,PRESCRIBING,RX_DOSE_ORDERED_UNIT,/mmol{creat},per millimole of creatinine,44777619,(unit) millimole per millimole of creatinine (concept_id = 44777619),Unit,UCUM,Unit,S,mmol/mmol{creat}
PCORnet,PRESCRIBING,RX_DOSE_ORDERED_UNIT,/mo,per month,44777658,(unit) per month (concept_id = 44777658),Unit,UCUM,Unit,S,/mo
PCORnet,PRESCRIBING,RX_DOSE_ORDERED_UNIT,/s,per second,44777659,(unit) per second (concept_id = 44777659),Unit,UCUM,Unit,S,/s
PCORnet,PRESCRIBING,RX_DOSE_ORDERED_UNIT,/U,per enzyme unit,0,Gap,-,-,-,-,-
PCORnet,PRESCRIBING,RX_DOSE_ORDERED_UNIT,/uL,per microliter,8647,(unit) per microliter (concept_id = 8647),Unit,UCUM,Unit,S,/uL
PCORnet,PRESCRIBING,RX_DOSE_ORDERED_UNIT,/wk,per week,44777559,(unit) per week (concept_id = 44777559),Unit,UCUM,Unit,S,/w
PCORnet,PRESCRIBING,RX_DOSE_ORDERED_UNIT,/{entity},per entity,9236,(unit) per entity (concept_id = 9236),Unit,UCUM,Unit,S,/{entity}
PCORnet,PRESCRIBING,RX_DOSE_ORDERED_UNIT,/{OIF},per oil immersion field,0,Gap,-,-,-,-,-
PCORnet,PRESCRIBING,RX_FREQUENCY,1,01=Every  day,0,N/A,-,-,-,-,-
PCORnet,PRESCRIBING,RX_FREQUENCY,10,10=Every  evening,0,N/A,-,-,-,-,-
PCORnet,PRESCRIBING,RX_DOSE_ORDERED_UNIT,10*12/L,trillion per liter,8734,(unit) trillion per liter (concept_id = 8734),Unit,UCUM,Unit,S,10*12/L
PCORnet,PRESCRIBING,RX_DOSE_ORDERED_UNIT,10*3,thousand,8566,(unit) thousand (concept_id = 8566),Unit,UCUM,Unit,S,10*3
PCORnet,PRESCRIBING,RX_DOSE_ORDERED_UNIT,10*3/L,thousand per liter,9435,(unit) thousand per liter (concept_id = 9435),Unit,UCUM,Unit,S,10*3/L
PCORnet,PRESCRIBING,RX_DOSE_ORDERED_UNIT,10*3/mL,thousand per milliliter,9436,(unit) thousand per milliliter (concept_id = 9436),Unit,UCUM,Unit,S,10*3/mL
PCORnet,PRESCRIBING,RX_DOSE_ORDERED_UNIT,10*3/uL,thousand per microliter,8848,(unit) thousand per microliter (concept_id = 8848),Unit,UCUM,Unit,S,10*3/uL
PCORnet,PRESCRIBING,RX_DOSE_ORDERED_UNIT,10*3{copies}/mL,thousand copies per milliliter,9437,(unit) thousand copies per milliliter (concept_id = 9437),Unit,UCUM,Unit,S,10*3.{copies}/mL
PCORnet,PRESCRIBING,RX_DOSE_ORDERED_UNIT,10*3{RBCs},thousand red blood cells,9434,(unit) thousand red blood cells (concept_id = 9434),Unit,UCUM,Unit,S,10*3.{RBC}
PCORnet,PRESCRIBING,RX_DOSE_ORDERED_UNIT,10*4/uL,10 thousand per microliter,32706,(unit) ten thousand per microliter (concept_id = 32706),Unit,UCUM,Unit,S,10*4/uL
PCORnet,PRESCRIBING,RX_DOSE_ORDERED_UNIT,10*5,one hundred thousand,9438,(unit) hundred thousand (concept_id = 9438),Unit,UCUM,Unit,S,10*5
PCORnet,PRESCRIBING,RX_DOSE_ORDERED_UNIT,10*6,million,8549,(unit) million (concept_id = 8549),Unit,UCUM,Unit,S,10*6
PCORnet,PRESCRIBING,RX_DOSE_ORDERED_UNIT,10*6.[CFU]/L,million colony forming unit per liter,9423,(unit) colony forming unit per milliliter (concept_id = 9423),Unit,UCUM,Unit,S,[CFU]/mL
PCORnet,PRESCRIBING,RX_DOSE_ORDERED_UNIT,10*6.[IU],million international unit,8718,(unit) international unit (concept_id = 8718),Unit,UCUM,Unit,S,[iU]
PCORnet,PRESCRIBING,RX_DOSE_ORDERED_UNIT,10*6/(24.h),million per 24 hour,8910,(unit) millimole per 24 hours (concept_id = 8910),Unit,UCUM,Unit,S,mmol/(24.h)
PCORnet,PRESCRIBING,RX_DOSE_ORDERED_UNIT,10*6/kg,million per kilogram,9252,(unit) per kilogram (concept_id = 9252),Unit,UCUM,Unit,S,/kg
PCORnet,PRESCRIBING,RX_DOSE_ORDERED_UNIT,10*6/L,million per liter,9442,(unit) million per liter (concept_id = 9442),Unit,UCUM,Unit,S,10*6/L
PCORnet,PRESCRIBING,RX_DOSE_ORDERED_UNIT,10*6/mL,million per milliliter,8816,(unit) million per milliliter (concept_id = 8816),Unit,UCUM,Unit,S,10*6/mL
PCORnet,PRESCRIBING,RX_DOSE_ORDERED_UNIT,10*6/uL,million per microliter,8815,(unit) million per microliter (concept_id = 8815),Unit,UCUM,Unit,S,10*6/uL
PCORnet,PRESCRIBING,RX_DOSE_ORDERED_UNIT,10*8,100 million,9443,(unit) hundred million (concept_id = 9443),Unit,UCUM,Unit,S,10*8
PCORnet,PRESCRIBING,RX_DOSE_ORDERED_UNIT,10*9/L,billion per liter,9444,(unit) billion per liter (concept_id = 9444),Unit,UCUM,Unit,S,10*9/L
PCORnet,PRESCRIBING,RX_DOSE_ORDERED_UNIT,10*9/mL,billion per milliliter,9445,(unit) billion per milliliter (concept_id = 9445),Unit,UCUM,Unit,S,10*9/mL
PCORnet,PRESCRIBING,RX_DOSE_ORDERED_UNIT,10*9/uL,billion per microliter,9446,(unit) billion per microliter (concept_id = 9446),Unit,UCUM,Unit,S,10*9/uL
PCORnet,PRESCRIBING,RX_DOSE_ORDERED_UNIT,10.L/(min.m2),10 liter per minute per square meter,32710,(unit) liter per minute per square meter (concept_id = 32710),Unit,UCUM,Unit,S,L/min/m2
PCORnet,PRESCRIBING,RX_DOSE_ORDERED_UNIT,10.L/min,10 liter per minute,8698,(unit) liter per minute (concept_id = 8698),Unit,UCUM,Unit,S,L/min
PCORnet,PRESCRIBING,RX_DOSE_ORDERED_UNIT,10.uN.s/(cm5.m2),10 micronewton second per centimeter to the fifth power per square meter,32703,(unit) dyne-second per centimeter to the fifth power (concept_id = 32703),Unit,UCUM,Unit,S,dyn.sec/cm5
PCORnet,PRESCRIBING,RX_FREQUENCY,11,11=Once,0,N/A,-,-,-,-,-
PCORnet,PRESCRIBING,RX_FREQUENCY,2,02=Two  times  a  day  (BID),0,N/A,-,-,-,-,-
PCORnet,PRESCRIBING,RX_DOSE_ORDERED_UNIT,24.h,24 hour,0,Gap,-,-,-,-,-
PCORnet,PRESCRIBING,RX_FREQUENCY,3,03=Three  times  a  day  (TID),0,N/A,-,-,-,-,-
