measured_variable,codeset_id,unit,harmonized_unit,measurement_concept_name,conversion_formula
Albumin (g/dL),104464584,nanogram per liter,gram per deciliter,Albumin [Mass/volume] in Serum or Plasma,x*0.0000000001
Albumin (g/dL),104464584,milligram per deciliter,gram per deciliter,Albumin [Mass/volume] in Serum or Plasma,x*0.001
"ALT (SGPT), IU/L",538737057,unit per liter,international unit per liter,Alanine aminotransferase [Enzymatic activity/volume] in Serum or Plasma,x
"ALT (SGPT), IU/L",538737057,unit per liter,international unit per liter,Alanine aminotransferase [Enzymatic activity/volume] in Serum or Plasma by With P-5'-P,x
"ALT (SGPT), IU/L",538737057,unit per liter,international unit per liter,Alanine aminotransferase [Enzymatic activity/volume] in Blood,x
"ALT (SGPT), IU/L",538737057,unit per liter,international unit per liter,Alanine aminotransferase [Enzymatic activity/volume] in Serum or Plasma by No addition of P-5'-P,x
"AST (SGOT), IU/L",248480621,unit per liter,international unit per liter,Aspartate aminotransferase [Enzymatic activity/volume] in Serum or Plasma,x
"AST (SGOT), IU/L",248480621,unit per liter,international unit per liter,Aspartate aminotransferase [Enzymatic activity/volume] in Serum or Plasma by With P-5'-P,x
"Bilirubin (Conjugated/Direct), mg/dL",50252641,gram per deciliter,milligram per deciliter,Bilirubin.direct [Mass/volume] in Serum or Plasma,x*1000
"Bilirubin (total), mg/dL",586434833,nanogram per deciliter,milligram per deciliter,Bilirubin.total [Mass/volume] in Serum or Plasma,x*0.000001
"Bilirubin (total), mg/dL",586434833,milligram per milliliter,milligram per deciliter,Bilirubin.total [Mass/volume] in Serum or Plasma,x*100
"Bilirubin (total), mg/dL",586434833,milliequivalent per liter,milligram per deciliter,Bilirubin.total [Mass/volume] in Serum or Plasma,x*58.467
"Bilirubin (total), mg/dL",586434833,gram per deciliter,milligram per deciliter,Bilirubin.total [Mass/volume] in Serum or Plasma,x*1000
"Bilirubin - (Unconjugated/Indirect), mg/dL",59108731,nanogram per milliliter,milligram per deciliter,Bilirubin.indirect [Mass/volume] in Serum or Plasma,x*0.0001
"Bilirubin - (Unconjugated/Indirect), mg/dL",59108731,milligram per deciliter calculated,milligram per deciliter,Bilirubin.indirect [Mass/volume] in Serum or Plasma,x
BMI,65622096,square meter,kilogram per square meter,Body mass index (BMI) [Ratio],x
BMI,65622096,kilogram,kilogram per square meter,Body mass index (BMI) [Ratio],x
"BNP, pg/mL",703853936,picogram per deciliter,picogram per milliliter,Plasma B natriuretic peptide measurement,x*0.01
"BNP, pg/mL",703853936,nanogram per milliliter,picogram per milliliter,Plasma B natriuretic peptide measurement,x*1000
"BNP, pg/mL",703853936,nanogram per liter,picogram per milliliter,Plasma B natriuretic peptide measurement,x
"BNP, pg/mL",703853936,milligram per deciliter,picogram per milliliter,Plasma B natriuretic peptide measurement,x*10000000
"BNP, pg/mL",703853936,gram per deciliter,picogram per milliliter,Plasma B natriuretic peptide measurement,x*10000000000
"BNP, pg/mL",703853936,picogram per deciliter,picogram per milliliter,Serum B-type natriuretic peptide concentration measurement,x*0.01
"BNP, pg/mL",703853936,nanogram per milliliter,picogram per milliliter,Serum B-type natriuretic peptide concentration measurement,x*1000
"BNP, pg/mL",703853936,nanogram per liter,picogram per milliliter,Serum B-type natriuretic peptide concentration measurement,x
"BNP, pg/mL",703853936,milligram per deciliter,picogram per milliliter,Serum B-type natriuretic peptide concentration measurement,x*10000000
"BNP, pg/mL",703853936,gram per deciliter,picogram per milliliter,Serum B-type natriuretic peptide concentration measurement,x*10000000000
"BNP, pg/mL",703853936,picogram per deciliter,picogram per milliliter,Natriuretic peptide,x*0.01
"BNP, pg/mL",703853936,nanogram per milliliter,picogram per milliliter,Natriuretic peptide,x*1000
"BNP, pg/mL",703853936,nanogram per liter,picogram per milliliter,Natriuretic peptide,x
"BNP, pg/mL",703853936,milligram per deciliter,picogram per milliliter,Natriuretic peptide,x*10000000
"BNP, pg/mL",703853936,gram per deciliter,picogram per milliliter,Natriuretic peptide,x*10000000000
"BNP, pg/mL",703853936,picogram per deciliter,picogram per milliliter,Natriuretic peptide B | Blood | Chemistry - non-challenge,x*0.01
"BNP, pg/mL",703853936,nanogram per milliliter,picogram per milliliter,Natriuretic peptide B | Blood | Chemistry - non-challenge,x*1000
"BNP, pg/mL",703853936,nanogram per liter,picogram per milliliter,Natriuretic peptide B | Blood | Chemistry - non-challenge,x
"BNP, pg/mL",703853936,milligram per deciliter,picogram per milliliter,Natriuretic peptide B | Blood | Chemistry - non-challenge,x*10000000
"BNP, pg/mL",703853936,gram per deciliter,picogram per milliliter,Natriuretic peptide B | Blood | Chemistry - non-challenge,x*10000000000
"BNP, pg/mL",703853936,picogram per deciliter,picogram per milliliter,Natriuretic peptide B | Serum or Plasma | Chemistry - non-challenge,x*0.01
"BNP, pg/mL",703853936,nanogram per milliliter,picogram per milliliter,Natriuretic peptide B | Serum or Plasma | Chemistry - non-challenge,x*1000
"BNP, pg/mL",703853936,nanogram per liter,picogram per milliliter,Natriuretic peptide B | Serum or Plasma | Chemistry - non-challenge,x
"BNP, pg/mL",703853936,milligram per deciliter,picogram per milliliter,Natriuretic peptide B | Serum or Plasma | Chemistry - non-challenge,x*10000000
"BNP, pg/mL",703853936,gram per deciliter,picogram per milliliter,Natriuretic peptide B | Serum or Plasma | Chemistry - non-challenge,x*10000000000
"BNP, pg/mL",703853936,picogram per deciliter,picogram per milliliter,Natriuretic peptide B [Mass/volume] in Blood,x*0.01
"BNP, pg/mL",703853936,nanogram per milliliter,picogram per milliliter,Natriuretic peptide B [Mass/volume] in Blood,x*1000
"BNP, pg/mL",703853936,nanogram per liter,picogram per milliliter,Natriuretic peptide B [Mass/volume] in Blood,x
"BNP, pg/mL",703853936,milligram per deciliter,picogram per milliliter,Natriuretic peptide B [Mass/volume] in Blood,x*10000000
"BNP, pg/mL",703853936,gram per deciliter,picogram per milliliter,Natriuretic peptide B [Mass/volume] in Blood,x*10000000000
"BNP, pg/mL",703853936,picogram per deciliter,picogram per milliliter,Natriuretic peptide B [Moles/volume] in Serum or Plasma,x*0.01
